Date,Open,High,Low,Close,Volume,Market Cap
09-Oct-17,4614.52,4878.71,4564.25,4772.02,1968740000,76656500000
08-Oct-17,4429.67,4624.14,4405.64,4610.48,1313870000,73575400000
07-Oct-17,4369.35,4443.88,4321.05,4426.89,906928000,72565100000
06-Oct-17,4324.46,4413.27,4320.53,4370.81,1069940000,71810600000
05-Oct-17,4229.88,4362.64,4164.05,4328.41,1161770000,70233700000
04-Oct-17,4319.37,4352.31,4210.42,4229.36,1116770000,71712500000
03-Oct-17,4408.46,4432.47,4258.89,4317.48,1288020000,73181300000
02-Oct-17,4395.81,4470.23,4377.46,4409.32,1431730000,72963200000
01-Oct-17,4341.05,4403.74,4269.81,4403.74,1208210000,72047300000
30-Sep-17,4166.11,4358.43,4160.86,4338.71,1207450000,69136600000
29-Sep-17,4171.62,4214.63,4039.29,4163.07,1367050000,69219200000
28-Sep-17,4197.13,4279.31,4109.7,4174.73,1712320000,69633200000
27-Sep-17,3892.94,4210.05,3884.82,4200.67,1686880000,64579200000
26-Sep-17,3928.41,3969.89,3869.9,3892.35,1043740000,65161000000
25-Sep-17,3681.58,3950.25,3681.58,3926.07,1374210000,61061100000
24-Sep-17,3796.15,3796.15,3666.9,3682.84,768015000,62954300000
23-Sep-17,3629.92,3819.21,3594.58,3792.4,928114000,60190000000
22-Sep-17,3628.02,3758.27,3553.53,3630.7,1194830000,60152300000
21-Sep-17,3901.47,3916.42,3613.63,3631.04,1411480000,64677600000
20-Sep-17,3916.36,4031.39,3857.73,3905.95,1213830000,64918500000
19-Sep-17,4073.79,4094.07,3868.87,3924.97,1563980000,67520300000
18-Sep-17,3591.09,4079.23,3591.09,4065.2,1943210000,59514100000
17-Sep-17,3606.28,3664.81,3445.64,3582.88,1239150000,59757800000
16-Sep-17,3637.75,3808.84,3487.79,3625.04,1818400000,60271600000
15-Sep-17,3166.3,3733.45,2946.62,3637.52,4148070000,52453500000
14-Sep-17,3875.37,3920.6,3153.86,3154.95,2716310000,64191600000
13-Sep-17,4131.98,4131.98,3789.92,3882.59,2219410000,68432200000
12-Sep-17,4168.88,4344.65,4085.22,4130.81,1864530000,69033400000
11-Sep-17,4122.47,4261.67,4099.4,4161.27,1557330000,68256000000
10-Sep-17,4229.34,4245.44,3951.04,4122.94,1679090000,70018100000
09-Sep-17,4229.81,4308.82,4114.11,4226.06,1386230000,70017200000
08-Sep-17,4605.16,4661,4075.18,4228.75,2700890000,76220200000
07-Sep-17,4589.14,4655.04,4491.33,4599.88,1844620000,75945000000
06-Sep-17,4376.59,4617.25,4376.59,4597.12,2172100000,72418700000
05-Sep-17,4228.29,4427.84,3998.11,4376.53,2697970000,69954400000
04-Sep-17,4591.63,4591.63,4108.4,4236.31,2987330000,75955500000
03-Sep-17,4585.27,4714.08,4417.59,4582.96,1933190000,75841700000
02-Sep-17,4901.42,4975.04,4469.24,4578.77,2722140000,81060600000
01-Sep-17,4701.76,4892.01,4678.53,4892.01,2599080000,77748400000
31-Aug-17,4555.59,4736.05,4549.4,4703.39,1944930000,75322300000
