DATE,SP500
1503329880,2426
1503329940,2426.6001
1503330000,2427
1503330060,2426.96
1503330120,2427.5901
1503330180,2427.3799
1503330240,2427.6101
1503330300,2427.74
1503330360,2427.79
1503330420,2427.6299
1503330480,2428.51
1503330540,2428.01
1503330600,2427.55
1503330660,2427.1499
1503330720,2427.26
1503330780,2427.27
1503330840,2427.76
1503330900,2427.22
1503330960,2427.1699
1503331020,2426.97
1503331080,2426.8999
1503331140,2426.9299
1503331200,2426.98
1503331260,2427.3601
1503331320,2427.47
1503331380,2427.54
1503331440,2427.5801
1503331500,2427.1001
1503331560,2427.6599
1503331620,2427.73
1503331680,2427.75
1503331740,2427.6899
1503331800,2427.71
1503331860,2427.98
1503331920,2427.79
1503331980,2427.8101
1503332040,2427.47
1503332100,2427.47
1503332160,2427.7
1503332220,2427.25
1503332280,2427.29
1503332340,2427.1001
1503332400,2427.1299
1503332460,2427.1299
1503332520,2427.8899
1503332580,2428.1201
1503332640,2428.6799
1503332700,2429.8799
1503332760,2429.3799
1503332820,2429.8799
1503332880,2429.6299
1503332940,2429.9399
1503333000,2429.72
1503333060,2429.8501
1503333120,2430.3
1503333180,2430.3799
1503333240,2430.1599
1503333300,2429.9399
1503333360,2429.97
1503333420,2429.4199
1503333480,2429.3601
1503333540,2429.4099
1503333600,2429.4099
1503333660,2428.74
1503333720,2428.3601
1503333780,2428.72
1503333840,2428.6899
1503333900,2428.46
1503333960,2428.48
1503334020,2428.1899
1503334080,2428.29
1503334140,2428.24
1503334200,2428.22
1503334260,2428.52
1503334320,2428.53
1503334380,2428.4099
1503334440,2428.1799
1503334500,2428.1699
1503334560,2428.52
1503334620,2428.45
1503334680,2428.53
1503334740,2428.51
1503334800,2428.5601
1503334860,2428.3999
1503334920,2428.03
1503334980,2428.1899
1503335040,2428.3301
1503335100,2428.3601
1503335160,2428.52
1503335220,2428.3201
1503335280,2428.2
1503335340,2427.8601
1503335400,2427.9199
1503335460,2427.9199
1503335520,2427.7
1503335580,2427.22
1503335640,2427.29
1503335700,2427.1101
1503335760,2426.8201
1503335820,2426.9199
1503335880,2426.78
1503335940,2426.9299
1503336000,2427.22
1503336060,2427.4199
1503336120,2427.4399
1503336180,2427.5901
1503336240,2427.6699
1503336300,2427.4299
1503336360,2427.3201
1503336420,2426.98
1503336480,2426.72
1503336540,2426.75
1503336600,2427.23
1503336660,2427.48
1503336720,2427.4099
1503336780,2427.23
1503336840,2427.01
1503336900,2426.4299
1503336960,2426
1503337020,2425.8999
1503337080,2426.1599
1503337140,2426.25
1503337200,2426.4099
1503337260,2426.3601
1503337320,2426.73
1503337380,2426.71
1503337440,2426.6499
1503337500,2426.51
1503337560,2426.4199
1503337620,2426.3401
1503337680,2427.1101
1503337740,2426.78
1503337800,2426.73
1503337860,2426.5901
1503337920,2425.9099
1503337980,2425.72
1503338040,2425.6101
1503338100,2425.51
1503338160,2424.6699
1503338220,2424.72
1503338280,2424.71
1503338340,2424.77
1503338400,2424.8999
1503338460,2424.95
1503338520,2425.47
1503338580,2425.1599
1503338640,2425.1101
1503338700,2425.3799
1503338760,2425.3401
1503338820,2425.1599
1503338880,2424.8799
1503338940,2425.0701
1503339000,2424.99
1503339060,2424.77
1503339120,2425.24
1503339180,2425.3701
1503339240,2425.1899
1503339300,2424.97
1503339360,2424.78
1503339420,2424.79
1503339480,2424.3799
1503339540,2424.51
1503339600,2424.53
1503339660,2424.45
1503339720,2424.5
1503339780,2424.5901
1503339840,2425.3201
1503339900,2425.6001
1503339960,2425.75
1503340020,2425.6599
1503340080,2425.27
1503340140,2425.3201
1503340200,2425.9199
1503340260,2425.9099
1503340320,2425.3899
1503340380,2424.8799
1503340440,2424.75
1503340500,2424.8999
1503340560,2424.71
1503340620,2424.7
1503340680,2425.0601
1503340740,2424.3
1503340800,2424.3201
1503340860,2424.02
1503340920,2424.05
1503340980,2424.3899
1503341040,2425.1101
1503341100,2425.4099
1503341160,2425.52
1503341220,2425.5701
1503341280,2425.71
1503341340,2425.4099
1503341400,2425.72
1503341460,2425.6001
1503341520,2425.99
1503341580,2426.04
1503341640,2425.6101
1503341700,2426.0701
1503341760,2425.53
1503341820,2425.55
1503341880,2425.3401
1503341940,2425.4399
1503342000,2425.1201
1503342060,2424.3701
1503342120,2425.21
1503342180,2425.26
1503342240,2425.04
1503342300,2425.0701
1503342360,2424.8999
1503342420,2424.98
1503342480,2424.95
1503342540,2425.0801
1503342600,2425.04
1503342660,2424.8601
1503342720,2423.8201
1503342780,2423.3101
1503342840,2423.6101
1503342900,2424
1503342960,2423.9199
1503343020,2423.96
1503343080,2423.98
1503343140,2424.3
1503343200,2424.45
1503343260,2425.3301
1503343320,2426.75
1503343380,2426.73
1503343440,2426.5701
1503343500,2426.51
1503343560,2426.4199
1503343620,2426.9199
1503343680,2427.46
1503343740,2428.03
1503343800,2428.25
1503343860,2428.52
1503343920,2428.1101
1503343980,2427.77
1503344040,2427.8799
1503344100,2428.25
1503344160,2427.8999
1503344220,2427.8201
1503344280,2428.1001
1503344340,2428.48
1503344400,2428.5701
1503344460,2428.45
1503344520,2428.1201
1503344580,2427.8899
1503344640,2428.6599
1503344700,2429.28
1503344760,2428.76
1503344820,2428.74
1503344880,2428.6299
1503344940,2428.6499
1503345000,2429.9199
1503345060,2429.72
1503345120,2429.73
1503345180,2430
1503345240,2429.96
1503345300,2430.04
1503345360,2429.5701
1503345420,2428.8701
1503345480,2429.54
1503345540,2428.1201
1503345600,2428.1201
1503408600,2435.4099
1503408660,2436.1899
1503408720,2437.0901
1503408780,2436.8201
1503408840,2437.71
1503408900,2439.4299
1503408960,2440.45
1503409020,2440.1899
1503409080,2441.1399
1503409140,2442.02
1503409200,2442.01
1503409260,2441.6699
1503409320,2441.5
1503409380,2441.3201
1503409440,2441.3999
1503409500,2441.5701
1503409560,2441.1101
1503409620,2441.45
1503409680,2441.5
1503409740,2441.73
1503409800,2442.4299
1503409860,2442.52
1503409920,2442.6101
1503409980,2443.02
1503410040,2442.9299
1503410100,2442.5801
1503410160,2442.05
1503410220,2441.79
1503410280,2441.6799
1503410340,2441.45
1503410400,2441.8
1503410460,2442.47
1503410520,2442.4399
1503410580,2442.74
1503410640,2441.74
1503410700,2441.8
1503410760,2441.8201
1503410820,2441.71
1503410880,2442.1599
1503410940,2442.03
1503411000,2442.2
1503411060,2442.25
1503411120,2442.6299
1503411180,2442.5701
1503411240,2442.9299
1503411300,2442.99
1503411360,2442.5601
1503411420,2442.6599
1503411480,2443
1503411540,2443.0701
1503411600,2443.26
1503411660,2443.9399
1503411720,2443.97
1503411780,2443.6799
1503411840,2443.6201
1503411900,2443.6899
1503411960,2443.3701
1503412020,2443.3601
1503412080,2443.25
1503412140,2443.22
1503412200,2443.49
1503412260,2443.27
1503412320,2443.3701
1503412380,2443.04
1503412440,2442.75
1503412500,2442.5601
1503412560,2442.78
1503412620,2443.4099
1503412680,2443.2
1503412740,2443.45
1503412800,2442.6499
1503412860,2442.5901
1503412920,2442.8201
1503412980,2443.0601
1503413040,2443.02
1503413100,2443.3
1503413160,2443.5801
1503413220,2443.53
1503413280,2443.47
1503413340,2443.4399
1503413400,2443.9199
1503413460,2444.1399
1503413520,2444.3601
1503413580,2444.45
1503413640,2444.98
1503413700,2444.74
1503413760,2444.75
1503413820,2444.8501
1503413880,2444.52
1503413940,2444.5701
1503414000,2445.1101
1503414060,2444.8501
1503414120,2443.8701
1503414180,2444.25
1503414240,2443.8101
1503414300,2443.8201
1503414360,2444.05
1503414420,2443.99
1503414480,2443.6399
1503414540,2443.79
1503414600,2443.8
1503414660,2443.8101
1503414720,2443.29
1503414780,2443.49
1503414840,2443.98
1503414900,2443.98
1503414960,2444.3799
1503415020,2443.95
1503415080,2443.71
1503415140,2444.03
1503415200,2444.1699
1503415260,2444.04
1503415320,2444.05
1503415380,2443.8201
1503415440,2445.04
1503415500,2444.8101
1503415560,2444.6499
1503415620,2444.1899
1503415680,2444.4199
1503415740,2444.8999
1503415800,2444.6899
1503415860,2445.9299
1503415920,2445.6001
1503415980,2445.8201
1503416040,2445.8201
1503416100,2447.02
1503416160,2446.8899
1503416220,2446.8999
1503416280,2447.01
1503416340,2447.3
1503416400,2447.6201
1503416460,2447.3601
1503416520,2447.21
1503416580,2447.28
1503416640,2446.99
1503416700,2447.21
1503416760,2447.04
1503416820,2447.24
1503416880,2447.6799
1503416940,2447.4299
1503417000,2447.47
1503417060,2447.51
1503417120,2447.3501
1503417180,2447.23
1503417240,2447.0801
1503417300,2447.3
1503417360,2447.3
1503417420,2447.1899
1503417480,2447.3501
1503417540,2447.24
1503417600,2447.28
1503417660,2448.29
1503417720,2448.3601
1503417780,2448.1699
1503417840,2447.97
1503417900,2448.1299
1503417960,2448.55
1503418020,2448.6499
1503418080,2448.6399
1503418140,2448.6001
1503418200,2448.72
1503418260,2448.8999
1503418320,2449.2
1503418380,2449.1399
1503418440,2449.23
1503418500,2449.1899
1503418560,2449.1299
1503418620,2449.1299
1503418680,2448.9199
1503418740,2448.77
1503418800,2448.52
1503418860,2448.45
1503418920,2448.6899
1503418980,2448.3501
1503419040,2448.1499
1503419100,2447.9099
1503419160,2447.72
1503419220,2447.73
1503419280,2447.8799
1503419340,2447.7
1503419400,2447.5801
1503419460,2447.77
1503419520,2447.9399
1503419580,2447.9399
1503419640,2447.72
1503419700,2447.6899
1503419760,2447.5801
1503419820,2447.4099
1503419880,2447.3999
1503419940,2446.97
1503420000,2447.26
1503420060,2447.2
1503420120,2447.4399
1503420180,2447.6101
1503420240,2447.5701
1503420300,2447.03
1503420360,2447.45
1503420420,2447.3999
1503420480,2447.3701
1503420540,2447.49
1503420600,2447.5
1503420660,2447.99
1503420720,2447.71
1503420780,2447.54
1503420840,2447.47
1503420900,2447.97
1503420960,2447.9099
1503421020,2447.96
1503421080,2448.1101
1503421140,2448.24
